surface,arm,task,repeat,seconds
nlweb,jev,intent-customer-01,2,2.1
nlweb,jev,intent-customer-01,3,2.1
nlweb,jev,intent-customer-01,4,2.1
nlweb,jev,intent-doc-01,0,1.6
nlweb,jev,intent-doc-01,1,1.7
nlweb,jev,intent-doc-01,2,1.6
nlweb,jev,intent-doc-01,3,1.8
nlweb,jev,intent-doc-01,4,1.7
nlweb,jev,intent-doc-02,0,1.6
nlweb,jev,intent-doc-02,1,1.6
nlweb,jev,intent-doc-02,2,1.7
nlweb,jev,intent-doc-02,3,1.9
nlweb,jev,intent-doc-02,4,1.8
nlweb,jev,intent-price-01,0,2.1
nlweb,jev,intent-price-01,1,2.3
nlweb,jev,intent-price-01,2,2.0
nlweb,jev,intent-price-01,3,2.1
nlweb,jev,intent-price-01,4,2.1
nlweb,jev,intent-reporter-01,0,2.4
nlweb,jev,intent-reporter-01,1,2.0
nlweb,jev,intent-reporter-01,2,2.1
nlweb,jev,intent-reporter-01,3,2.0
nlweb,jev,intent-reporter-01,4,2.1
nlweb,llm,intent-customer-01,0,7.2
nlweb,llm,intent-customer-01,1,8.1
nlweb,llm,intent-customer-01,2,6.8
nlweb,llm,intent-customer-01,3,7.8
nlweb,llm,intent-customer-01,4,8.0
nlweb,llm,intent-doc-01,0,5.6
nlweb,llm,intent-doc-01,1,4.9
nlweb,llm,intent-doc-01,2,4.9
nlweb,llm,intent-doc-01,3,5.0
nlweb,llm,intent-doc-01,4,5.6
nlweb,llm,intent-doc-02,0,4.9
nlweb,llm,intent-doc-02,1,4.9
nlweb,llm,intent-doc-02,2,5.2
nlweb,llm,intent-doc-02,3,4.4
nlweb,llm,intent-doc-02,4,11.5
nlweb,llm,intent-price-01,0,8.6
nlweb,llm,intent-price-01,1,7.8
nlweb,llm,intent-price-01,2,8.7
nlweb,llm,intent-price-01,3,7.8
nlweb,llm,intent-price-01,4,8.1
nlweb,llm,intent-reporter-01,0,8.5
nlweb,llm,intent-reporter-01,1,8.9
nlweb,llm,intent-reporter-01,2,8.7
nlweb,llm,intent-reporter-01,3,8.1
nlweb,llm,intent-reporter-01,4,9.0
webmcp,jev,intent-customer-01,0,1.4
webmcp,jev,intent-customer-01,1,1.5
webmcp,jev,intent-customer-01,2,1.4
webmcp,jev,intent-customer-01,3,1.5
webmcp,jev,intent-customer-01,4,1.5
webmcp,jev,intent-doc-01,0,1.4
webmcp,jev,intent-doc-01,1,1.5
webmcp,jev,intent-doc-01,2,1.4
webmcp,jev,intent-doc-01,3,1.6
webmcp,jev,intent-doc-01,4,1.4
webmcp,jev,intent-doc-02,0,1.4
webmcp,jev,intent-doc-02,1,1.4
webmcp,jev,intent-doc-02,2,1.6
webmcp,jev,intent-doc-02,3,1.5
webmcp,jev,intent-doc-02,4,1.4
webmcp,jev,intent-lowstock-01,0,1.4
webmcp,jev,intent-lowstock-01,1,1.3
webmcp,jev,intent-lowstock-01,2,1.4
webmcp,jev,intent-lowstock-01,3,1.7
webmcp,jev,intent-lowstock-01,4,1.4
webmcp,jev,intent-order-01,0,1.2
webmcp,jev,intent-order-01,1,1.2
webmcp,jev,intent-order-01,2,1.1
webmcp,jev,intent-order-01,3,1.2
webmcp,jev,intent-order-01,4,1.2
webmcp,jev,intent-price-01,0,1.3
webmcp,jev,intent-price-01,1,1.4
webmcp,jev,intent-price-01,2,1.6
webmcp,jev,intent-price-01,3,1.3
webmcp,jev,intent-price-01,4,1.7
webmcp,jev,intent-reporter-01,0,1.3
webmcp,jev,intent-reporter-01,1,1.4
webmcp,jev,intent-reporter-01,2,1.3
webmcp,jev,intent-reporter-01,3,1.5
webmcp,jev,intent-reporter-01,4,1.3
webmcp,jev,intent-stock-01,0,1.6
webmcp,jev,intent-stock-01,1,1.3
webmcp,jev,intent-stock-01,2,1.4
webmcp,jev,intent-stock-01,3,1.4
webmcp,jev,intent-stock-01,4,2.0
webmcp,jev,intent-ticket-01,0,1.7
webmcp,jev,intent-ticket-01,1,1.6
webmcp,jev,intent-ticket-01,2,1.9
webmcp,jev,intent-ticket-01,3,1.8
webmcp,jev,intent-ticket-01,4,1.6
webmcp,jev,intent-transfer-01,0,1.9
webmcp,jev,intent-transfer-01,1,1.6
webmcp,jev,intent-transfer-01,2,1.5
webmcp,jev,intent-transfer-01,3,1.8
webmcp,jev,intent-transfer-01,4,1.6
webmcp,llm,intent-customer-01,0,3.8
webmcp,llm,intent-customer-01,1,3.9
webmcp,llm,intent-customer-01,2,3.9
webmcp,llm,intent-customer-01,3,3.8
webmcp,llm,intent-customer-01,4,5.3
webmcp,llm,intent-doc-01,0,2.7
webmcp,llm,intent-doc-01,1,2.8
webmcp,llm,intent-doc-01,2,3.2
webmcp,llm,intent-doc-01,3,2.8
webmcp,llm,intent-doc-01,4,2.7
webmcp,llm,intent-doc-02,0,3.4
webmcp,llm,intent-doc-02,1,3.7
webmcp,llm,intent-doc-02,2,3.5
webmcp,llm,intent-doc-02,3,3.5
webmcp,llm,intent-doc-02,4,3.8
webmcp,llm,intent-lowstock-01,0,3.0
webmcp,llm,intent-lowstock-01,1,3.0
webmcp,llm,intent-lowstock-01,2,4.9
webmcp,llm,intent-lowstock-01,3,2.9
webmcp,llm,intent-lowstock-01,4,2.9
webmcp,llm,intent-order-01,0,2.7
webmcp,llm,intent-order-01,1,2.7
webmcp,llm,intent-order-01,2,2.4
webmcp,llm,intent-order-01,3,2.6
webmcp,llm,intent-order-01,4,2.7
webmcp,llm,intent-price-01,0,3.4
webmcp,llm,intent-price-01,1,3.7
webmcp,llm,intent-price-01,2,3.2
webmcp,llm,intent-price-01,3,3.3
webmcp,llm,intent-price-01,4,3.5
webmcp,llm,intent-reporter-01,0,3.5
webmcp,llm,intent-reporter-01,1,3.8
webmcp,llm,intent-reporter-01,2,3.4
webmcp,llm,intent-reporter-01,3,3.6
webmcp,llm,intent-reporter-01,4,3.4
webmcp,llm,intent-stock-01,0,4.3
webmcp,llm,intent-stock-01,1,4.1
webmcp,llm,intent-stock-01,2,4.7
webmcp,llm,intent-stock-01,3,4.2
webmcp,llm,intent-stock-01,4,5.9
webmcp,llm,intent-ticket-01,0,6.8
webmcp,llm,intent-ticket-01,1,6.8
webmcp,llm,intent-ticket-01,2,7.3
webmcp,llm,intent-ticket-01,3,6.4
webmcp,llm,intent-ticket-01,4,7.5
webmcp,llm,intent-transfer-01,0,3.9
webmcp,llm,intent-transfer-01,1,3.8
webmcp,llm,intent-transfer-01,2,3.8
webmcp,llm,intent-transfer-01,3,3.8
webmcp,llm,intent-transfer-01,4,3.9
