domain,block,field,fact_text
ahrefs.com,pricing,plan,"name=Brand Radar Custom Prompts - Growth | price_monthly=100 | currency=USD | key_limits=7,000 checks/mo, overage $0.015/check"
ahrefs.com,pricing,plan,"name=Brand Radar Custom Prompts - Scale | price_monthly=250 | currency=USD | key_limits=25,000 checks/mo, overage $0.010/check"
ahrefs.com,pricing,free_plan,True
ahrefs.com,pricing,pricing_model_notes,"Pay annually, save up to 17%. No discounts offered. Additional users charged on pay-as-you-go basis. Pay-as-you-go credits and data available with automatic charges when consumption exceeds plan limits. No contracts or setup fees. Can cancel anytime."
ahrefs.com,features,main_feature,Site Explorer for backlink and organic traffic analysis
ahrefs.com,features,main_feature,Keywords Explorer with AI suggestions and keyword clusters
ahrefs.com,features,main_feature,Site Audit with always-on crawling and AI detection
ahrefs.com,features,main_feature,Rank Tracker for monitored keyword rankings
ahrefs.com,features,main_feature,Brand Radar AI tracking across 476M+ organic prompts
ahrefs.com,features,main_feature,Content Explorer for competitor content insights
ahrefs.com,features,main_feature,Web Analytics for site performance measurement
ahrefs.com,features,main_feature,Social Media Manager for publishing and scheduling posts
ahrefs.com,features,main_feature,Report Builder for consolidated marketing data reporting
ahrefs.com,features,main_feature,Competitive Analysis with SERP history and comparison
ahrefs.com,features,main_feature,API and MCP Server access for data integration
ahrefs.com,features,main_feature,GBP Monitor and Google Search Console insights
ahrefs.com,features,usage_limit,"Lite: 5 projects, 750 tracked keywords, 100K crawl credits/mo"
ahrefs.com,features,usage_limit,"Standard: 20 projects, 2,000 tracked keywords, 500K crawl credits/mo"
ahrefs.com,features,usage_limit,"Advanced: 50 projects, 5,000 tracked keywords, 1.5M crawl credits/mo"
ahrefs.com,features,usage_limit,"Enterprise: from 100 projects, 10K+ keywords, 5M+ crawl credits/mo"
ahrefs.com,features,usage_limit,Lite: 6 months historical data; Standard: 2 years; Advanced: 5 years
ahrefs.com,features,usage_limit,"Lite: 1,000 credits/user/mo; Standard/Advanced/Enterprise: unlimited"
ahrefs.com,features,usage_limit,"Lite: 2,500 max rows/report; up to 150,000 on Enterprise"
ahrefs.com,features,usage_limit,Export rows: 500K (Lite) to 10M+ (Enterprise) per month
ahrefs.com,features,usage_limit,Brand Radar: 5–20 tracked AI prompts depending on plan
ahrefs.com,features,usage_limit,Rank Tracker updates weekly on all plans
ahrefs.com,setup,setup_step,Visit the REST API section and review the overview and authentication docs
ahrefs.com,setup,setup_step,Create and manage your API keys via the API keys section
ahrefs.com,setup,setup_step,Try free test queries without an Enterprise plan
ahrefs.com,setup,setup_step,Browse available endpoints in the endpoint explorer
ahrefs.com,setup,setup_step,"For AI assistants, follow MCP introduction to connect Ahrefs data"
ahrefs.com,setup,setup_step,"For dashboards, use Data Studio connectors (Site Explorer, Rank Tracker, etc.)"
ahrefs.com,setup,setup_step,"For third-party apps, apply to Ahrefs Connect integration program"
ahrefs.com,setup,setup_step,"For bot tracking, set up Bot Analytics via Cloudflare Logpush or Worker"
ahrefs.com,setup,auth_method,API keys (REST API); OAuth 2.0 (Ahrefs Connect integration program)
ahrefs.com,setup,has_public_api,True
ahrefs.com,setup,key_integration,Claude Desktop / Web
ahrefs.com,setup,key_integration,ChatGPT
ahrefs.com,setup,key_integration,Claude Code
ahrefs.com,setup,key_integration,Google Data Studio
ahrefs.com,setup,key_integration,Cloudflare (Logpush and Worker)
ahrefs.com,setup,key_integration,MCP (AI assistants/agents)
airtable.com,pricing,plan,name=Free
airtable.com,pricing,plan,name=Team | price_annual_per_month=20 | currency=USD | key_limits=Per user/month when billed annually
airtable.com,pricing,plan,name=Business | price_annual_per_month=45 | currency=USD | key_limits=Per user/month when billed annually
airtable.com,pricing,plan,name=Enterprise Scale | key_limits=Custom pricing based on organization's needs and scale; contact sales
airtable.com,pricing,free_plan,True
airtable.com,pricing,pricing_model_notes,"Charged per seat. Free plan: all users free. Team/Business plans: charged for users with edit permissions for at least one base; read-only collaborators, form submissions, and share links not charged. Charges prorated for mid-month additions."
airtable.com,features,main_feature,Interface Designer for building custom apps
airtable.com,features,main_feature,Automation runs for workflow automation
airtable.com,features,main_feature,AI credits with Omni and AI Field Agents
airtable.com,features,main_feature,"Multiple views: Grid, Kanban, Gantt, Timeline, Calendar"
airtable.com,features,main_feature,Synced tables with two-way sync support
airtable.com,features,main_feature,Extensions including scripting and custom extensions
airtable.com,features,main_feature,Realtime collaboration and commenting
airtable.com,features,main_feature,Forms with custom branding options
airtable.com,features,main_feature,Portals for guest user access
airtable.com,features,main_feature,SAML-based single sign-on (SSO)
airtable.com,features,main_feature,Audit logs and data loss prevention (DLP)
airtable.com,features,main_feature,HyperDB and App Library for enterprise app building
airtable.com,features,usage_limit,"Free: 1,000 records per base, 5 editors max"
airtable.com,features,usage_limit,"Team: 50,000 records per base, unlimited editors"
airtable.com,features,usage_limit,"Business: 125,000 records per base"
airtable.com,features,usage_limit,"Enterprise Scale: 500,000 records per base"
airtable.com,features,usage_limit,Free: 100 automation runs/month
airtable.com,features,usage_limit,"Team: 25,000 automation runs/month"
airtable.com,features,usage_limit,"Business: 100,000 automation runs/month"
airtable.com,features,usage_limit,"Enterprise Scale: 500,000 automation runs/month"
airtable.com,features,usage_limit,Free: 500 AI credits/editor/month
airtable.com,features,usage_limit,"Team: 15,000 AI credits/paid user/month"
airtable.com,features,usage_limit,"Free: 1 GB attachments per base; Enterprise: 1,000 GB"
airtable.com,features,usage_limit,"Free API: 1,000 calls/month; Team: 100,000 calls/month"
asana.com,pricing,plan,"name=Personal | price_monthly=0 | price_annual_per_month=0 | currency=USD | key_limits=2 users, unlimited tasks and projects, list/board/calendar views, 100MB max per file"
asana.com,pricing,plan,"name=Starter | price_monthly=13.49 | price_annual_per_month=10.99 | currency=USD | key_limits=Per user, no user seat limits, AI Studio Basic w/50K credits, timeline and Gantt views, reporting dashboards, unlimited automations"
asana.com,pricing,plan,"name=Advanced | price_monthly=30.49 | price_annual_per_month=24.99 | currency=USD | key_limits=Per user, AI Studio Basic w/75K credits, unlimited portfolios, goals, workload management, approvals and proofing, Salesforce/Tableau/Power BI support"
asana.com,pricing,plan,"name=Enterprise | key_limits=Contact sales for pricing, AI Studio Basic w/200K credits, SAML authentication, user provisioning, universal workload, capacity planning, service accounts"
asana.com,pricing,free_plan,True
asana.com,pricing,pricing_model_notes,Personal plan is free forever. Starter and Advanced plans show both monthly and annual billing options with annual discount (up to 18% savings). Enterprise plan requires contacting sales. All paid plans are per-user pricing.
asana.com,features,main_feature,Unlimited tasks and projects organization
asana.com,features,main_feature,"List, board, calendar, timeline, and Gantt views"
asana.com,features,main_feature,Unlimited automations for assignments and notifications
asana.com,features,main_feature,Reporting dashboards with charts and metrics
asana.com,features,main_feature,Goals tracking connected to company-wide objectives
asana.com,features,main_feature,Workload and capacity planning across portfolios
asana.com,features,main_feature,Approvals and proofing with PDF/design annotation
asana.com,features,main_feature,"Custom fields, templates, and forms with branching"
asana.com,features,main_feature,AI Studio with credits for automated workflows
asana.com,features,main_feature,Portfolios for high-level multi-project oversight
asana.com,features,main_feature,Time tracking comparing estimated vs. actual effort
asana.com,features,main_feature,SAML authentication and SCIM user provisioning
asana.com,features,usage_limit,Personal plan: up to 2 users only
asana.com,features,usage_limit,Personal plan: 100MB max file size
asana.com,features,usage_limit,AI Studio Basic: 50K credits/month on Starter
asana.com,features,usage_limit,AI Studio Basic: 75K credits/month on Advanced
asana.com,features,usage_limit,AI Studio Basic: 200K credits/month on Enterprise
asana.com,features,usage_limit,"Seat increments: 1 (2–5 users), 5 (up to 30), 10 (up to 100), 25 (up to 500), 50 (500+)"
asana.com,setup,setup_step,Visit the quick start guide to build your first app
asana.com,setup,setup_step,Create and authorize with a token
asana.com,setup,setup_step,Create tasks via the API
asana.com,setup,auth_method,token
asana.com,setup,has_public_api,True
asana.com,setup,key_integration,App Directory apps
asana.com,setup,key_integration,Webhooks
asana.com,setup,key_integration,Rule actions
asana.com,setup,key_integration,App components (UI embeds)
attio.com,pricing,plan,"name=Free | price_monthly=0 | price_annual_per_month=0 | key_limits=Up to 3 seats, Up to 3 objects, 50,000 records, 200 emails/mo, Up to 3 reports"
attio.com,pricing,plan,"name=Plus | price_monthly=44 | price_annual_per_month=35 | key_limits=Up to 10 seats, Up to 5 objects, 250,000 records, 1,000 emails/mo, Up to 15 reports"
attio.com,pricing,plan,"name=Pro | price_monthly=99 | price_annual_per_month=79 | key_limits=Unlimited seats, Up to 12 objects, 1,000,000 records, Unlimited emails/mo, Up to 100 reports"
attio.com,pricing,plan,"name=Enterprise | key_limits=Unlimited objects, Unlimited teams, Custom records, Unlimited emails/mo, 100+ reports"
attio.com,pricing,free_plan,True
attio.com,pricing,pricing_model_notes,Per user/month billing. Monthly and annual billing options available. Annual billing offers 20% savings. Enterprise plan billed annually with custom pricing.
attio.com,features,main_feature,Real-time contact syncing
attio.com,features,main_feature,Automatic data enrichment for companies and people
attio.com,features,main_feature,AI agents and Ask Attio AI assistant
attio.com,features,main_feature,Call Intelligence and email sequences
attio.com,features,main_feature,Workflows with integration blocks for automation
attio.com,features,main_feature,Custom objects and relationship attributes
attio.com,features,main_feature,Advanced reporting with funnel and insight reports
attio.com,features,main_feature,Email and calendar sync per user
attio.com,features,main_feature,Bulk email sending with visibility controls
attio.com,features,main_feature,"MCP server, API, webhook, and App SDK access"
attio.com,features,main_feature,Permission controls with team and individual management
attio.com,features,main_feature,Record and entry templates with formula attributes
attio.com,features,usage_limit,"Free: up to 3 seats, 3 objects, 50,000 records"
attio.com,features,usage_limit,"Plus: up to 10 seats, 5 objects, 250,000 records"
attio.com,features,usage_limit,"Pro: unlimited seats, 12 objects, 1,000,000 records"
attio.com,features,usage_limit,"Enterprise: unlimited seats, objects, and records"
attio.com,features,usage_limit,"Free: 200 emails/month; Plus: 1,000 emails/month"
attio.com,features,usage_limit,"Bulk email: 10 at once (Free), 50 at once (Plus+)"
attio.com,features,usage_limit,"Free: 100 seat credits/user/mo, 250 workspace credits/mo"
attio.com,features,usage_limit,"Plus: 500 seat credits/user/mo, 1,500 workspace credits/mo"
attio.com,features,usage_limit,"Pro: 1,000 seat credits/user/mo, 10,000 workspace credits/mo"
attio.com,features,usage_limit,Free: up to 3 reports; Plus: 15; Pro: 100; Enterprise: 100+
attio.com,setup,setup_step,Visit Attio Docs and choose a platform component to build with
attio.com,setup,setup_step,Select App SDK to embed TypeScript React apps in Attio interface
attio.com,setup,setup_step,Use REST API to read and write data to Attio workspaces
attio.com,setup,setup_step,Connect AI tools via MCP to manage your Attio workspace
attio.com,setup,setup_step,Run SQL queries against workspace data using the SQL component
attio.com,setup,has_public_api,True
attio.com,setup,sdk,App SDK (TypeScript/React)
attio.com,setup,key_integration,Claude
attio.com,setup,key_integration,ChatGPT
attio.com,setup,key_integration,Webhooks
basecamp.com,pricing,plan,"name=Free | key_limits=1 project, 1 GB storage, up to 20 users"
basecamp.com,pricing,plan,"name=Pro | price_monthly=15 | currency=USD | key_limits=Unlimited projects, 500 GB storage, pay-per-user ($15/user/month), guests and clients free"
basecamp.com,pricing,plan,"name=Pro Unlimited | price_annual_per_month=299 | currency=USD | key_limits=Unlimited projects, 5 TB storage, unlimited users, all features included, fixed price"
basecamp.com,pricing,free_plan,True
basecamp.com,pricing,pricing_model_notes,"Pro Unlimited offers 60-day free trial. Pro offers 30-day free trial. Free plan available with 1 project forever. No credit card required for free plan or trials. Pay-per-user model for Pro; all-inclusive fixed price for Pro Unlimited. Optional upgrades available: Timesheet ($50/month), Admin Pro Pack ($50/month), additional storage ($50/month per 1TB)."
bill.com,pricing,plan,name=Essentials | price_monthly=49 | currency=USD | key_limits=Per user/month; manual integration via CSV; 6 standard user roles; AP and AR features with basic integrations
bill.com,pricing,plan,name=Team | price_monthly=65 | currency=USD | key_limits=Per user/month; automatic 2-way sync with QuickBooks Online/Pro/Premier and Xero; custom user roles; AP and AR features
bill.com,pricing,plan,"name=Corporate | price_monthly=89 | currency=USD | key_limits=Per user/month; automatic 2-way sync with QuickBooks Enterprise, Oracle NetSuite, Sage Intacct, Microsoft Dynamics; procurement features; custom approval policies; discounts for approver-only users"
bill.com,pricing,plan,name=Enterprise | currency=USD | key_limits=Custom pricing; enhanced security; multi-location accounting; priority support; automatic 2-way sync with enterprise software; single sign-on; dual control; API access
bill.com,pricing,plan,"name=Spend & Expense | price_monthly=0 | currency=USD | key_limits=Free plan; corporate cards; budgets; expense tracking; access to credit lines $1,000-$5M; no per-user fees"
bill.com,pricing,free_plan,True
bill.com,pricing,pricing_model_notes,"AP & AR plans priced per user per month. Spend & Expense is free with no subscription or per-user fees. Transaction fees apply for payments (ACH $0.59, checks $1.99, virtual card free, etc.). Free trial available for AP & AR in most cases."
bill.com,features,main_feature,Accounts Payable automation reducing time by 50%
bill.com,features,main_feature,Accounts Receivable to get paid 2x faster
bill.com,features,main_feature,ACH payments for paying and getting paid
bill.com,features,main_feature,Pay vendors by credit card even without card acceptance
bill.com,features,main_feature,International payments to over 130 countries
bill.com,features,main_feature,"Invoice creation, sending, and management with customer portal"
bill.com,features,main_feature,Approval tracking with separation of duties and fraud protection
bill.com,features,main_feature,AI to reduce manual work and streamline bill pay
bill.com,features,main_feature,Corporate cards with virtual card fraud protection
bill.com,features,main_feature,Budget management and expense management software
bill.com,features,main_feature,Reimbursements managing out-of-pocket and card spend
bill.com,features,main_feature,Rewards earned on every dollar spent on BILL Divvy Card
bill.com,features,usage_limit,"Credit lines range from $1,000 to $5M (not guaranteed)"
box.com,pricing,plan,"name=Individual | key_limits=10 GB storage, 250 MB file upload limit, 1 file version, 5 Box Sign signature requests per month"
box.com,pricing,plan,"name=Personal Pro | key_limits=100 GB storage, 5 GB file upload, 10 file versions, 15 Box Sign signature requests per month"
box.com,pricing,plan,"name=Business Starter | key_limits=100 GB storage, 2 GB file upload, 25 file versions, 10 Box Sign signature requests per month, minimum 3 users"
box.com,pricing,plan,"name=Business Essentials | key_limits=Unlimited storage, 5 GB file upload, unlimited external collaborators, 50K API calls per month, minimum 3 users"
box.com,pricing,plan,"name=Business Plus | key_limits=Unlimited storage, 15 GB file upload, unlimited external collaborators, 50K API calls per month, minimum 3 users"
box.com,pricing,plan,"name=Enterprise | key_limits=Unlimited storage, 50 GB file upload, unlimited external collaborators, 1K AI Units per month, 100K API calls per month, minimum 3 users"
box.com,pricing,plan,"name=Enterprise Plus | key_limits=Unlimited storage, 150 GB file upload, unlimited external collaborators, 2K AI Units per month, 100K API calls per month, minimum 3 users"
box.com,pricing,plan,"name=Enterprise Advanced | key_limits=Unlimited storage, 500 GB file upload, unlimited external collaborators, 20K AI Units per month, 200K API calls per month, minimum 3 users"
box.com,pricing,free_plan,True
box.com,pricing,pricing_model_notes,"Monthly and annual billing options available. Platform add-ons (Core APIs, AI Units, Document Generation APIs, Sign APIs) require annual commitment and contact sales for pricing. Personal Pro and Business plans show 'per month' pricing but specific dollar amounts not stated in text."
box.com,features,main_feature,Intelligent content management platform for unstructured data
box.com,features,main_feature,Secure collaboration on files inside and outside organization
box.com,features,main_feature,"Box AI for summaries, deep analysis, smart recommendations"
box.com,features,main_feature,Box AI Agents for automating complex workflows
box.com,features,main_feature,"Extract structured data from contracts, statements, documents"
box.com,features,main_feature,Drag-and-drop workflow automation builder with AI agents
box.com,features,main_feature,AI-driven security with deep learning malware detection
box.com,features,main_feature,Automated classification and granular access controls
box.com,features,main_feature,"Built-in compliance tools for GDPR, HIPAA, FINRA"
box.com,features,main_feature,Unlimited e-signatures built into content ecosystem
box.com,features,main_feature,AI-native APIs and Box AI Studio for developers
box.com,features,main_feature,Box Zones data residency across 10 global regions
box.com,features,usage_limit,Unlimited e-signatures available for free
box.com,setup,has_public_api,True
box.com,setup,key_integration,Salesforce
box.com,setup,key_integration,Slack
box.com,setup,key_integration,Databricks
brevo.com,pricing,plan,name=Free | key_limits=Up to 300 emails per day after account approval; no credit card required
brevo.com,pricing,plan,"name=Starter | key_limits=From 5,000 emails per month; includes Sales Essentials"
brevo.com,pricing,plan,"name=Standard | key_limits=Everything in Starter, plus click heatmaps, geography & device reports, 1 page included, Sales Essentials"
brevo.com,pricing,plan,"name=Professional | key_limits=From 150,000 emails per month; additional marketing channels (WhatsApp, Popups, Mobile & Web Push); multi-user access (10 seats); Sales Advanced"
brevo.com,pricing,plan,name=Enterprise | key_limits=Custom price; for 1M+ contacts; custom solutions & full data control; Sales Advanced
brevo.com,pricing,free_plan,True
brevo.com,pricing,pricing_model_notes,Monthly or yearly commitment options available; yearly option shows -10% discount; pay-as-you-go credits available; no hidden fees; SMS credits sold separately
brevo.com,features,main_feature,Multichannel campaign automation and customer journey builder
brevo.com,features,main_feature,"Email, SMS, WhatsApp transactional messaging via SMTP and API"
brevo.com,features,main_feature,Drag-and-drop email editor with responsive templates
brevo.com,features,main_feature,AI content generator for subject lines and email copy
brevo.com,features,main_feature,"Advanced segmentation with demographics, behavior, custom events"
brevo.com,features,main_feature,Marketing automation with unlimited multi-step workflows
brevo.com,features,main_feature,A/B testing for subject lines and content variants
brevo.com,features,main_feature,Web and event tracking to trigger messages and segments
brevo.com,features,main_feature,"Contact scoring based on engagement, purchases, behaviors"
brevo.com,features,main_feature,AI segmentation and AI Data Analyst (Aura AI)
brevo.com,features,main_feature,"Custom loyalty engine with points, tiers, and rewards"
brevo.com,features,main_feature,"150+ integrations including Shopify, WordPress, Stripe, Zapier"
brevo.com,features,usage_limit,Free plan: up to 300 emails per day
brevo.com,features,usage_limit,"Starter: from 5,000 emails per month"
brevo.com,features,usage_limit,"Professional: from 150,000 emails per month"
brevo.com,features,usage_limit,Standard: 1 landing page included
brevo.com,features,usage_limit,Professional: 10 seats included
brevo.com,features,usage_limit,Deliverability Specialist support: 3 hours per year (Professional)
brevo.com,features,usage_limit,Free plan: 500 contacts included
brevo.com,features,usage_limit,"Free plan: web push up to 1,000 subscribers"
brevo.com,features,usage_limit,"SMS credits sold separately, priced by volume and destination"
brevo.com,setup,setup_step,Sign in to Brevo and access the API section
brevo.com,setup,setup_step,Set up API key or OAuth 2.0 authentication
brevo.com,setup,setup_step,"Install an official SDK (Node.js, Python, or PHP)"
brevo.com,setup,setup_step,Follow the interactive quickstart to make your first API call
brevo.com,setup,setup_step,Browse use-case guides or API reference for further integration
brevo.com,setup,auth_method,API key or OAuth 2.0
brevo.com,setup,has_public_api,True
brevo.com,setup,sdk,Node.js
brevo.com,setup,sdk,Python
brevo.com,setup,sdk,PHP
brevo.com,setup,key_integration,Transactional email
brevo.com,setup,key_integration,Transactional SMS
brevo.com,setup,key_integration,WhatsApp messaging
brevo.com,setup,key_integration,Webhooks
brevo.com,setup,key_integration,Contact management
brevo.com,setup,key_integration,eCommerce sync
brevo.com,setup,key_integration,Conversations/live chat
brevo.com,setup,key_integration,SMTP relay
brevo.com,setup,key_integration,MCP Server (AI assistants)
builder.io,pricing,plan,"name=Free | price_monthly=0 | key_limits=Up to 5 users, 25 daily Agent Credits, 75 monthly Agent Credits"
builder.io,pricing,plan,"name=Pro | key_limits=Per user/mo, 5 max users per space, 75 monthly Agent Credits, 500 monthly on-demand, $25 per 500 Agent Credits"
builder.io,pricing,plan,"name=Team | key_limits=Per user/mo, 20 max users per space, Unlimited Agent Credits, Admin/Developer/Designer/Editor roles"
builder.io,pricing,plan,"name=Enterprise | key_limits=Custom pricing, Custom user seats, Custom Agent Credits, SSO, RBAC, SLAs"
builder.io,pricing,free_plan,True
builder.io,pricing,pricing_model_notes,Pro and Team plans show 'per user/mo' pricing but exact amounts not stated in text. Enterprise requires contacting sales. Agent Credits available as add-on ($25 per 500). Monthly and Annual billing options mentioned but annual pricing not specified.
builder.io,features,main_feature,Visual IDE (Fusion) for code generation and iteration
builder.io,features,main_feature,Visual CMS (Publish) for content and marketing experiences
builder.io,features,main_feature,AI agent generates and iterates on enterprise-ready web apps
builder.io,features,main_feature,Figma plugin to copy/paste designs into projects
builder.io,features,main_feature,VS Code extension to leverage Fusion within IDE
builder.io,features,main_feature,Real-time multiplayer live editing across users
builder.io,features,main_feature,Built-in and custom MCP server support
builder.io,features,main_feature,Builder Agent integrated in Slack and JIRA
builder.io,features,main_feature,Peer Reviews and commenting on branches
builder.io,features,main_feature,Quality Review Agent tests every PR in real browser
builder.io,features,main_feature,Design System Intelligence maps Figma to code components
builder.io,features,main_feature,Single Sign-On (SSO) with SAML and OIDC support
builder.io,features,usage_limit,"Free: 25 Agent Credits/day, 75/month, up to 5 users"
builder.io,features,usage_limit,"Pro: 500 Agent Credits/user/month, up to 5 users"
builder.io,features,usage_limit,"Team: 500 Agent Credits/user/month, up to 20 users"
builder.io,features,usage_limit,Add'l 500 Agent Credits for $25/month on Pro and Team
builder.io,features,usage_limit,Enterprise: custom user seats and Agent Credits
chargebee.com,pricing,plan,"name=Starter | price_monthly=0 | currency=USD | key_limits=Free for the first USD 250K of cumulative billing, then 0.75% on billing"
chargebee.com,pricing,plan,name=Performance | price_monthly=599 | price_annual_per_month=599 | currency=USD | key_limits=Annual commitment / Billed monthly for up to USD 100K billing/mo
chargebee.com,pricing,plan,name=Enterprise | currency=USD | key_limits=Contact sales for quote
chargebee.com,pricing,plan,name=CPQ Lite | price_monthly=0 | key_limits=Free for the first 50 quotes
chargebee.com,pricing,plan,name=CPQ | key_limits=Contact sales
chargebee.com,pricing,plan,name=RevRec Performance | key_limits=Contact sales for quote
chargebee.com,pricing,plan,name=RevRec Enterprise | key_limits=Contact sales for quote
chargebee.com,pricing,plan,name=Growth Starter | price_monthly=0 | key_limits=Exclusively for CB Billing customers
chargebee.com,pricing,plan,name=Growth Enterprise | key_limits=Contact sales
chargebee.com,pricing,free_plan,True
chargebee.com,pricing,pricing_model_notes,"Chargebee offers usage-based, subscription, and hybrid billing models. Starter plan charges 0.75% on billing after USD 250K cumulative billing threshold. Performance plan billed monthly with annual commitment."
chargebee.com,features,main_feature,Subscription and invoicing management with calendar and advance billing
chargebee.com,features,main_feature,Usage-based and hybrid billing with real-time event ingestion
chargebee.com,features,main_feature,CPQ (Configure Price Quote) with assisted-sales workflows
chargebee.com,features,main_feature,Revenue recognition (RevRec) and SaaS metrics reporting
chargebee.com,features,main_feature,"40+ payment gateway integrations including Stripe, Adyen, PayPal"
chargebee.com,features,main_feature,Dunning management with smart dunning option
chargebee.com,features,main_feature,Global tax support including US sales tax and EU VAT
chargebee.com,features,main_feature,Customer portal and lifecycle email automation
chargebee.com,features,main_feature,"Multi-currency, multi-language, multi-entity management"
chargebee.com,features,main_feature,"Real-time usage limits, alerts, and usage analytics"
chargebee.com,features,main_feature,"Enterprise access controls: SAML, SCIM, JIT provisioning"
chargebee.com,features,main_feature,"Data export to GCS, Amazon S3, Snowflake, and BI stack"
chargebee.com,features,usage_limit,Flow plan includes 100M usage events per month
chargebee.com,features,usage_limit,Enterprise Plus supports up to 500M usage events per month
chargebee.com,features,usage_limit,Multi-entity management up to 100 business entities
chargebee.com,features,usage_limit,Account hierarchy: parent-child structures up to 30 levels deep
chargebee.com,features,usage_limit,First 50 CPQ quotes free on Flow plan
circleci.com,pricing,plan,"name=Free | price_monthly=0 | currency=USD | key_limits=Up to 6,000 build minutes, 5 active users/month, 30x concurrency, 30,000 free credits/month, 2 GB storage, 1 GB network"
circleci.com,pricing,plan,"name=Performance | price_monthly=15 | currency=USD | key_limits=Starting at $15/month, usage-based pricing, 30,000 credits included free, 5 active users, 80x concurrency, additional users $15/month, bulk credits available at discount"
circleci.com,pricing,plan,"name=Scale | key_limits=Billed annually, customizable plans, enterprise controls, largest resource classes, all environments including GPU, optional 24/7 support"
circleci.com,pricing,free_plan,True
circleci.com,pricing,pricing_model_notes,"CircleCI uses a credits-based usage model. Free plan: 30,000 credits/month (expire monthly). Performance plan: 30,000 credits included + $15 per 25,000 additional credits/month (paid credits roll over for 12 months). Scale plan: custom pricing, billed annually. Credits pay for active users, compute time, and premium features. Network and storage beyond thresholds charged at 420 credits/GB."
circleci.com,features,main_feature,Autonomous validation engine for AI-generated code
circleci.com,features,main_feature,Lightning-fast feedback with autonomous fixes
circleci.com,features,main_feature,"Smarter Testing: run only relevant tests, up to 97% faster"
circleci.com,features,main_feature,Chunk: automated fix-it for flaky tests and tech debt
circleci.com,features,main_feature,Release management with incremental release monitoring
circleci.com,features,main_feature,Automatic rollback on deployments
circleci.com,features,main_feature,"Test orchestration for code from teams, agents, models"
circleci.com,features,main_feature,CircleCI CLI with MCP server built in
circleci.com,features,main_feature,"Cloud, hybrid runner, and on-premises server hosting"
circleci.com,features,main_feature,Autoscaling execution environments
circleci.com,features,main_feature,Build image registry and optimization tools
circleci.com,features,main_feature,"Integrations with GitHub, GitLab, Bitbucket, AWS, GCP, Azure, Kubernetes"
circleci.com,setup,setup_step,Create a CircleCI account (free sign-up available).
circleci.com,setup,setup_step,"Connect your code repository (GitHub, Bitbucket, or GitLab)."
circleci.com,setup,setup_step,Select your org and choose 'Create project' in the web app.
circleci.com,setup,setup_step,Follow in-app instructions to set up your pipeline.
circleci.com,setup,setup_step,Connect your code and prepare a config file in-app.
circleci.com,setup,setup_step,Review triggers and pipeline settings in the app.
circleci.com,setup,setup_step,Commit your config file and run your first pipeline.
circleci.com,setup,setup_step,"Explore the passing pipeline, view job steps and output."
circleci.com,setup,auth_method,"GitHub, Bitbucket, or GitLab account connection (OAuth or GitHub App)"
circleci.com,setup,has_public_api,True
circleci.com,setup,key_integration,GitHub App
circleci.com,setup,key_integration,GitHub OAuth
